School,school_class
Aberdeen Central,AA
Aberdeen Roncalli,A
Arlington,B
Avon,B
Baltic,A
Belle Fourche,A
Beresford,A
Bison,B
Brandon Valley,AA
Brookings,AA
Canistota,B
Castlewood,B
Centerville,B
Chamberlain,A
Chester,B
Clark/Willow Lake,A
Corsica-Stickney,B
Crazy Horse,B
Crow Creek,A
Custer,A
St. Mary's,B
Dakota Valley,A
De Smet,B
Deubrook Area,B
Deuel,A
Douglas,AA
Dupree,B
Edgemont,B
Estelline/Hendricks,B
Ethan/Parkston,A
Faith,B
Faulkton Area,B
Flandreau,A
Flandreau Indian,B
Florence/Henry,A
Frederick Area,B
Freeman,B
Gayville-Volin,B
Great Plains Lutheran,A
Gregory,B
Harrisburg,AA
Hamlin,A
Herreid/Selby Area,B
Highmore-Harrold,B
Hill City,A
Hitchcock-Tulare,B
Howard,B
Huron,AA
Ipswich,B
Irene-Wakonda,B
James Valley Christian,B
Kimball/White Lake,B
Lemmon,B
Lennox,A
Leola,B
Lower Brule,B
Lyman,B
Madison,A
McCrossan,B
McLaughlin,B
Milbank,A
Miller,A
Mitchell,AA
Mitchell Christian,B
Mobridge-Pollock,A
Mount Vernon/Plankinton,A
New Underwood,B
Newell,B
North Central,B
Northwestern,B
O'Gorman,AA
Philip,B
Pierre T.F. Riggs,AA
Platte-Geddes,A
Gettysburg,B
Rapid City Christian,A
Rapid City Central,AA
Rapid City Stevens,AA
Mahpiya Luta,A
Redfield,A
Sioux Falls Christian,A
Sioux Falls Jefferson,AA
Sioux Falls Roosevelt,AA
Sioux Falls Washington,AA
Sanborn Central/Woonsocket,A
Sioux Falls Lincoln,AA
Sioux Falls Lutheran,B
Sioux Valley,A
Sisseton,A
Spearfish,AA
St. Thomas More,A
Stanley County,A
Sturgis Brown,AA
Sully Buttes,B
Sunshine Bible Academy,B
Tea Area,A
Timber Lake,B
Tri-State,A
Takini,B
Vermillion,A
Viborg-Hurley,B
Wakpala,B
Wall,B
Warner,B
Watertown,AA
Waubay/Summit,B
Wessington Springs,B
West Central,A
White River,B
Winner/Colome,A
Wolsey-Wessington,B
Yankton,AA
Andes Central/Dakota Christian,B
Black Hills Chri,B
Bon Homme,A
Burke,B
Canton,A
Dell Rapids,A
Groton Area,A
Hanson,A
Harding County,B
Hot Springs,A
Hoven,B
Jones County,B
Lead-Deadwood,A
Menno,B
Oelrichs,B
Scotland,B
Todd County,A
Tripp-Delmont/Armour,B
Webster Area,A
Alcester-Hudson,B
Elk Point-Jefferson,A
McCook Central/Montrose,A
Parker/Marion,A
Wagner,A
Iroquois/Lake Preston,B
Tri-Valley,A
Cheyenne-Eagle Butte,A
Garretson,A
Kadoka Area,B
Colman-Egan,B
Elkton-Lake Benton,A
Oldham-Ramona-Rutland,B
McIntosh,B
Tiospaye Topa,B
St. Francis Indian,A
Bennett County,B
Little Wound,A
Marty,B
Lakota Tech,A
Pine Ridge,A
Langford Area,B
Tiospa Zina,B
Aberdeen Christian,B
Bridgewater-Emery,B
Mahpiya Luta,A
Britton-Hecla,A
Waverly-South Shore,B